BIB_NUMBER, LAST_NAME, FIRST_NAME, CATEGORY, FINISH_TIME, RESULT
211,Kingdome,AJ,Merckx - Men,18:26:57.495,00:24:57.274
208,Sink,Carlton,Men (4/5/U),18:27:33.442,00:27:03.221
221,Cretengny,Laurent,Merckx - Men,18:31:22.579,00:24:22.358
219,Belknap,Fleet,Men (4/5/U),18:31:40.514,00:25:40.293
215,Clemente,Patrick,Merckx - Men,18:31:50.361,00:27:50.140
223,Watson,Nate,Men (P/1/2/3),18:31:52.406,00:23:52.185
214,Johnson,Howard,Master 60+ - Men,18:32:24.068,00:28:53.847
209,Ramsbey,Nicole,Merckx - Women,18:32:32.628,00:31:32.407
218,McQuaid,Dave,Master 50+ - Men,18:33:07.789,00:27:37.568
213,Askew,Mike,Master 60+ - Men,18:33:16.865,00:30:16.644
222,Harvey,Simon,Merckx - Men,18:33:45.742,00:26:15.521
220,Bailey,Robert,Merckx - Men,18:33:56.268,00:27:26.047
210,Kingdom,Jamie,Merckx - Women,18:35:56.355,00:34:26.134
216,Sisk,David,Master 50+ - Men,18:37:42.905,00:33:12.684
236,Blunt,Keith,Juniors (M),18:39:57.683,00:28:57.462
243,Herring,Tony,Master 60+ - Men,18:40:14.508,00:25:44.287
212,Waite,Ruthanne,Merckx - Women,18:40:46.644,00:38:16.423
217,Mikkonen,John,Merckx - Men,18:41:12.676,00:36:12.455
244,Leonhardt,Tami,Master 60+ - Women,18:43:01.700,00:28:01.479
233,Heller,Steven,Master 50+ - Men,18:43:13.853,00:33:43.632
235,Keasler,Colton,Merckx - Men,18:43:22.886,00:32:52.665
234,Keasler,Blake,Merckx - Men,18:44:16.100,00:34:15.879
246,Speight,David,Master 50+ - Men,18:45:13.372,00:29:13.151
257,Tabor,Neil,Men (4/5/U),18:46:46.004,00:25:15.783
262,Martin,James,Master 60+ - Men,18:46:58.852,00:22:58.631
256,Gregory,Nick,Men (4/5/U),18:47:11.308,00:26:11.087
265,Moser,George,Master 50+ - Men,18:50:38.187,00:25:07.966
253,Wendler,Alex,Merckx - Men,18:52:05.573,00:32:35.352
269,Collier,Joel,Men (4/5/U),18:52:37.414,00:25:07.193
271,Radler,Bill,Master 60+ - Men,18:52:50.174,00:24:19.953
258,Clements,Glynn,Master 60+ - Men,18:53:15.004,00:31:14.783
266,----,----,----,18:58:32.525,00:32:32.304
261,Thomson,Bill,Master 60+ - Men,18:59:22.623,00:35:52.402
255,Kegler,Kim,Merckx - Women,18:59:39.305,00:39:09.084
280,Sweeney,Dave,Merckx - Men,18:59:41.417,00:28:11.196
273,Edwards,Michelle,Master 50+ - Women,19:00:21.247,00:30:51.026
274,Schoonover,Sarah,Women(4/U),19:01:23.321,00:31:23.100
267,Brunton,Anna,Women(4/U),19:01:56.655,00:35:26.434
,,,,19:02:42.319,
263,Harper,Lauren,Merckx - Women,19:06:07.793,00:41:37.572
698,Mauhar,Michael,Merckx - Men,19:06:30.453,00:23:00.232
766,Michendfelder,Jeff,Men (P/1/2/3),19:10:12.117,00:24:41.896
765,Clary,Sammy,Merckx - Men,19:10:17.081,00:25:16.860
296,Wilson,Gregory,Men (4/5/U),19:18:45.532,00:39:15.311
